peak_ground_acceleration,density,internal_friction_angle,rock_cohesion,slope,m_before,m_after,time
0.58,27.8,35,27,49.0652008,0,0.870727074,2011
0.6,29,45,45,53.533699,0,0.870727074,2011
0.9,26.5,44,40,43.2316017,0,0.862284336,2011
0.62,29,45,45,32.9333992,0,0.870727074,2011
0.62,29,45,45,45.6469994,0,0.870727074,2011
0.62,29,45,45,58.0369987,0,0.870727074,2011
0.92,26.5,44,40,31.4041996,0,0.737017301,2011
0.92,26.5,44,40,27.2621002,0,0.737017301,2011
0.92,26.5,44,40,24.3026009,0,0.737017301,2011
0.92,26.5,44,40,37.8465004,0,0.737017301,2011
0.92,26.5,44,40,43.7342987,0,0.737017301,2011
0.92,26.5,44,40,39.5349007,0,0.737017301,2011
0.92,26.5,44,40,37.7832985,0,0.737017301,2011
0.9,26.5,44,40,56.5774002,0,0.862284336,2011
0.92,26.5,44,40,41.9431,0,0.737017301,2011
0.92,26.5,44,40,29.6424007,0,0.737017301,2011
0.92,26.5,44,40,38.1186981,0,0.737017301,2011
0.92,26.5,44,40,32.8843002,0,0.737017301,2011
0.9,26.5,44,40,37.9199982,0,0.737017301,2011
0.9,26.5,44,40,22.0156002,0,0.737017301,2011
0.92,26.5,44,40,34.3406982,0,0.737017301,2011
0.9,26.5,44,40,32.2398987,0,0.737017301,2011
0.92,26.5,44,40,33.1917992,0,0.737017301,2011
0.9,26.5,44,40,34.3886986,0,0.737017301,2011
0.88,26.5,44,40,39.1853981,0,0.862284336,2011
0.9,26.5,44,40,36.8520012,0,0.737017301,2011
0.9,26.5,44,40,31.3675995,0,0.737017301,2011
0.9,26.5,44,40,38.8501015,0,0.737017301,2011
0.9,26.5,44,40,34.3476982,0,0.737017301,2011
0.9,26.5,44,40,41.3322983,0,0.737017301,2011
0.9,26.5,44,40,36.6054001,0,0.737017301,2011
0.92,26.5,44,40,31.2516994,0,0.737017301,2011
0.9,26.5,44,40,42.3064995,0,0.737017301,2011
0.9,26.5,44,40,51.9280014,0,0.737017301,2011
0.9,26.5,44,40,31.1606998,0,0.737017301,2011
0.88,26.2,42,39,29.9789009,0,0.862284336,2011
0.9,26.5,44,40,39.1351013,0,0.737017301,2011
0.9,26.5,44,40,49.8540993,0,0.737017301,2011
0.9,26.5,44,40,43.0822983,0,0.737017301,2011
0.9,26.5,44,40,43.3521996,0,0.737017301,2011
0.9,26.5,44,40,48.5844002,0,0.737017301,2011
0.9,26.5,44,40,46.6146011,0,0.737017301,2011
0.9,26.5,44,40,46.2801018,0,0.737017301,2011
0.9,26.5,44,40,43.3188019,0,0.737017301,2011
0.9,26.5,44,40,39.8316002,0,0.737017301,2011
0.9,26.5,44,40,54.3862,0,0.737017301,2011
0.9,26.2,42,39,43.2991982,0,0.862284336,2011
0.9,26.5,44,40,40.4388008,0,0.862284336,2011
0.9,26.5,44,40,47.1556015,0,0.737017301,2011
0.9,26.5,44,40,39.7709999,0,0.737017301,2011
0.9,26.5,44,40,27.7236004,0,0.737017301,2011
0.9,26.5,44,40,25.5114994,0,0.737017301,2011
0.9,26.5,44,40,25.9901009,0,0.737017301,2011
0.9,26.5,44,40,35.4901009,0,0.737017301,2011
0.9,26.5,44,40,35.7352982,0,0.737017301,2011
0.88,26.5,44,40,37.8087997,0,0.804695506,2011
0.88,26.5,44,40,31.3854008,0,0.804695506,2011
0.88,26.5,44,40,27.4733009,0,0.804695506,2011
0.88,26.5,44,40,37.591301,0,0.804695506,2011
0.88,26.5,44,40,42.1436996,0,0.804695506,2011
0.88,26.5,44,40,46.0904999,0,0.804695506,2011
0.88,26.5,44,40,43.6651993,0,0.804695506,2011
0.88,26.5,44,40,37.9205017,0,0.804695506,2011
0.88,26.5,44,40,38.5695992,0,0.833958769,2011
0.88,26.5,44,40,24.4375,0,0.833958769,2011
0.86,26.5,44,40,44.145401,0,0.804695506,2011
0.9,26.5,44,40,44.1721992,0,0.833958769,2011
0.9,26.5,44,40,29.2516994,0,0.833958769,2011
0.88,26.5,44,40,23.1597004,0,0.833958769,2011
0.88,26.5,44,40,35.9648018,0,0.804695506,2011
0.88,26.5,44,40,36.278801,0,0.833958769,2011
0.88,26.5,44,40,37.007,0,0.833958769,2011
0.88,26.5,44,40,51.0987015,0,0.833958769,2011
0.88,26.5,44,40,39.2961998,0,0.833958769,2011
0.9,26.5,44,40,49.6708984,0,0.862284336,2011
0.9,26.5,44,40,46.2050018,0,0.833958769,2011
0.88,26.5,44,40,45.6055984,0,0.833958769,2011
0.9,26.5,44,40,32.3485985,0,0.737017301,2011
0.9,26.5,44,40,36.7943001,0,0.737017301,2011
0.9,26.5,44,40,35.4644012,0,0.737017301,2011
0.88,26.5,44,40,41.7994995,0,0.804695506,2011
0.9,26.5,44,40,42.0625992,0,0.737017301,2011
0.9,26.5,44,40,25.2635002,0,0.737017301,2011
